단어,뜻
incentive,"n    격려, 자극; 장려금"
transit,n    수송; 통과; 변이
amass,"v     모으다, 축적하다"
wisdom,n    지혜; 지식
refurbishment,n    재연마; 쇄신
compelling,adj    강제적인; 설득력 있는
initial,"adj    처음의, 초기의"
currency,"n    통화, 화폐"
capability,"n    능력, 역량"
criteria,"n    기준, 표준"
term,n    용어; 기간
reaction,n    반응; 반작용
distribution,n    분배; 분포
bear,v     견디다; 떠맡다
rigorous,"adj    엄격한, 철저한"
explore,"v     탐험하다, 답사하다"
phenomenon,n    현상; 사건
gradual,adj    점진적인; 완만한
distressing,"adj    괴로움을 주는, 고통스러운"
disaster,n    참사; 엄청난 불행
withstand,v     저항하다; 견뎌내다
accompany,"v     동반하다, 동행하다"
national,adj    국가의; 전국적인
gesture,n    몸짓; 표시     v     가리키다
display,"v     전시하다, 드러내다     n    전시, 진열"
tour,"n    관광, 여행"
educational,adj    교육의; 교육적인
pedestrian,n    보행자    adj    도보의
photocopy,v     복사하다     n    복사
receive,"v     받다, 받아들이다"
sanitation,n    공중 위생; 위생 시설
discipline,"n    규율, 훈육; 단련"
spot,n    점; 얼룩; 장소
structure,n    구조; 건축물     v     구조화하다
obscure,adj    분명하지 않은; 무명의
duty,n    의무; 직무
elegant,"adj    우아한, 품위 있는"
scenery,n    경치; (무대) 배경
consistent,"adj    한결같은, 일관된"
figure,n    수치; 인물; 형상
deplete,v     격감시키다; 고갈시키다
relative,adj    상대적인     n    친척
chance,n    기회; 가능성
arrangement,n    준비; 합의; 배치
unprecedented,adj    전례 없는; 비길 데 없는
technology,"n    기술; 기계, 장비"
affluent,adj    부유한; 풍부한
source,"n    원천, 근원; 출처"
ambiguous,adj    모호한; 분명하지 않은
